trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
34,False,"{'a': 0.5, 'e': 0.8979999999999999}",25,13,-30.756598068634474,"{0: 7, 1: 1, 2: 4, 3: 0, 4: 0}",1
35,False,"{'a': 0.5, 'e': 0.8949999999999999}",20,0,-130.99722750991222,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
36,False,"{'a': 0.5, 'e': 0.8919999999999999}",25,0,-107.681611762413,"{0: 11, 1: 3, 2: 11, 3: 0, 4: 0}",0
37,False,"{'a': 0.5, 'e': 0.8889999999999999}",30,11,-76.41525522656629,"{0: 11, 1: 3, 2: 2, 3: 3, 4: 0}",1
38,False,"{'a': 0.5, 'e': 0.8859999999999999}",25,0,-181.07230931268023,"{0: 17, 1: 2, 2: 1, 3: 1, 4: 4}",0
39,False,"{'a': 0.5, 'e': 0.8829999999999999}",25,0,-169.56073607635525,"{0: 16, 1: 3, 2: 1, 3: 2, 4: 3}",0
40,False,"{'a': 0.5, 'e': 0.8799999999999999}",25,0,-74.77669175434993,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
41,False,"{'a': 0.5, 'e': 0.8769999999999999}",20,9,-50.0584026096231,"{0: 7, 1: 2, 2: 1, 3: 0, 4: 1}",1
42,False,"{'a': 0.5, 'e': 0.8739999999999999}",20,0,-38.72455447898464,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
43,False,"{'a': 0.5, 'e': 0.8709999999999999}",30,0,-89.87019695542496,"{0: 21, 1: 4, 2: 2, 3: 2, 4: 1}",0
44,False,"{'a': 0.5, 'e': 0.8679999999999999}",20,14,12.288169830959069,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 0.5, 'e': 0.8649999999999999}",25,0,-36.4249940499083,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
46,False,"{'a': 0.5, 'e': 0.8619999999999999}",25,0,-78.8894168232312,"{0: 16, 1: 5, 2: 2, 3: 1, 4: 1}",0
47,False,"{'a': 0.5, 'e': 0.8589999999999999}",20,0,-29.11111665976669,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
48,False,"{'a': 0.5, 'e': 0.8559999999999999}",25,0,-81.86144760095397,"{0: 17, 1: 4, 2: 2, 3: 1, 4: 1}",0
49,False,"{'a': 0.5, 'e': 0.8529999999999999}",30,0,-121.8023196045275,"{0: 20, 1: 3, 2: 5, 3: 0, 4: 2}",0
50,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-49.519640360424695,"{0: 16, 1: 5, 2: 4, 3: 0, 4: 0}",0
